profanity	obfuscation	pos	definition	language
enconner	enc*nner	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
enculé	enc*lé	NOUN	https://babelnet.org/synset?id=bn:0006506n&&lang=FR	FR
enculer	enc*ler	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
forniquer	f*rniquer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
fourrer	f*urrer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
foutre	f*utre	NOUN	https://babelnet.org/synset?id=bn:00020895n&lang=FR	FR
fuck	f*ck	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
garce	g*rce	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=FR	FR
gland	gl*nd	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
grue	gr*e	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
homo	h*mo	NOUN	https://babelnet.org/synset?id=bn:00037541n&lang=FR	FR
merde	m*rde	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=FR	FR
minet	m*net	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
minette	m*nette	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
minou	m*nou	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
moule	m*ule	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=FR	FR
nibard	n*bard	NOUN	https://babelnet.org/synset?id=bn:00012047n&lang=FR	FR
nichon	n*chon	NOUN	https://babelnet.org/synset?id=bn:00012047n&lang=FR	FR
niquer	n*quer	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=FR	FR
prout	pr*ut	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=FR	FR
putain	p*tain	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
pute	p*te	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=FR	FR
salaud	s*laud	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
salope	s*lope	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=FR	FR
saloperie	s*loperie	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=FR	FR
tantouze	t*ntouze	NOUN	https://fr.wiktionary.org/wiki/tantouze	FR
tapette	t*pette	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=FR	FR
arschloch	arschl*ch	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=DE	DE
bastard	b*stard	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
bumsen	b*msen	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
ficken	f*cken	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=DE	DE
ficker	f*cker	NOUN	https://www.urbandictionary.com/define.php?term=ficker	DE
fotze	f*tze	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=DE	DE
hure	h*re	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=DE	DE
hurensohn	h*rensohn	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
